symbol	name	type	old mana cost	mana cost	effect			
	Tame Beast	C	5	1	When casting this spell, if you rolled 7 or higher, target beast with less than 30 hp becomes your friend. It fights for you as an NPC.			
	Smoke Burst	C	15	1	Blow cigarette smoke at a target. It takes 1d6 + 1 damage if the smoke touches it.			
	Icecube Hurl	C	15	1	Telepathically hurl a nearby icecube at a target within 10 feet. It deals 1d6 + 1 damage, and melts.			
	Chili Blast	C	15	1	Toss bits of chili pepper or a similar spicy food at an enemy within 10ft. The bits light into a brilliant blaze, dealing 1d6 + 1 damage.			
	Finger Gun	C	15	1	Instead of Cast a Spell, use Manipulate Someone to cast this spell. Make a finger gun and shoot at target. If you succeed, deal 1d6 - 2 damage to target.			
	Biscuit Fling	C	15	1	Fling a biscuit at target. The biscuit is empowered and deals 1d6 - 2 damage.			
		C	15	1	Pour life magic into rosehip. The rosehip rapidly grows into a rosebush and deals 1d6 - 2 damage to anything that was standing in its way.			
		C	15	1	Engulf yourself in a ring of flames. You deal 1d6 - 2 damage to everything within a 20ft radius except yourself.			
		C	15	1	Slash the air. A blade of wind travels outward from your slash, dealing 1d6 - 2 damage to the first target it hits within 50ft.			
		C	15	1	Summon a pack of 6 French Fries. You gain the action "Hurl a french fry at target within 15ft. The target takes 1d6 - 3 damage and becomes very thirsty."			
		C	15	1	Deal 1d6 - 2 electrical damage to a target within 20ft.			
		C	15	1	You speak a phrase of your choice. As many targets as you'd like hear it within 200ft, and are defeaned for 2 hours. They also take 1d6 - 2 pyschic damage.			
		C	20	2	Spit a sunflower seed at a target within 5ft. It deals 1d6 + 1 wind damage.			
		C	20	2	The temperature within 100ft drops 30° F for the next 10 minutes. Everything (including you) takes 1d6 - 2 frost damage.			
		C	20	2	Assault the mind of target within 30ft, dealing 1d6 + 2 psychic damage. Your target is unable to tell friend from foe apart on their next action, and simply attacks whoever is easiest for them to attack.			
		C	20	2	Expand a magical aura of death in a 10ft radius. Each being within the aura takes 1d6 + 1 pyschic damage and subtracts one point from their next roll.			 
		C	25	2	Conjure a fireball that deals 1d6 - 2 damage to something within 50 feet.			
		C	25	2	Your mind becomes serene and focused. Add 3 damage to your next three attacks (you can apply this to spell damage).			
		C	25	2	Absorb one gallon of water. When you do, heal yourself for 1d6 + 1 health and spit a high velocity water bullet to deal that much damage to a target within 30 ft.			
		C	25	2	Throw a handful of sand at your enemy's face within 5ft. It becomes molten hot and burns them for 1d6 + 4 damage.			
		C	25	2	Touch a weapon. For now on, this weapon deals an additional 2 damage when used with Fight, without Magic or Fight like an Animal.			
